industry,business name,address,external link,phone number,additional_info,emails,business hours
Transportation,Antonio Transportation,"1338 Essex Way San Jose, CA 95117",,(408) 317-5320,Transportation Services,[],
Transportation,Skybridge Transportation,"611 N Isabel St Apt 1 Glendale, CA 91206",,(818) 749-9529,Transportation Services,[],
Transportation,Veola Transportation,"1800 Maxwell Rd Chula Vista, CA 91911",,(619) 656-2300,Transportation Services,[],
Transportation,Innotech Transportation,"7920 Airway Rd San Diego, CA 92154",,(619) 737-5305,Transportation Services,[],
Transportation,LCS Transportation,"11100 Schmidt Rd El Monte, CA 91733",,(626) 862-3566,"Motorcycle Parts & Accessories, Transportation Services, Airport Transportation, Antique & Classic Car Dealers, Car Auctions, Taxis & Shuttles, Electric Car Dealers, All Terrain Vehicle Dealers, Car Service, Airport Parking Service, Motorcycle Dealers, Auto Dealers, Newspaper Publishers, Automotive Repair, Limousine Service, Motor Scooters",[],Business Hours: M-Su 24hr
Transportation,Transportation Foundation,"2615 S Grand Ave Los Angeles, CA 90007",,(213) 744-1030,"Community Organizations, Transportation Services, Philanthropy, Charitable Institutions",[],
Transportation,Able Transportation,"PO Box 760 Lakeside, CA 92040",,(619) 561-8696,"Trucking Companies, Transportation Services",[],
Transportation,Avalon Transportation,"395 Beach Rd Burlingame, CA 94010",,(650) 375-8479,"Bus Travel, Transportation Services, Passenger Transportation, Taxis & Shuttles",[],
Transportation,Aman's Transportation,"3419 Whitman Way San Jose, CA 95132",,(408) 991-2260,Transportation Services,[],
Transportation,Nestle Transportation,"800 N Brand Blvd Glendale, CA 91203",,(818) 549-6000,Transportation Services,[],
Transportation,Lenny's Transportation,"621 Kiowa Cir San Jose, CA 95123",,(408) 829-9429,Transportation Services,[],
Transportation,Transportation Management,"14626 Dalewood St Baldwin Park, CA 91706",,(626) 338-7888,"Transportation Services, Refrigerated Trucking",[],
Transportation,American Transportation,"17050 Chatsworth St Granada Hills, CA 91344",,(818) 366-3672,Transportation Services,[],
Transportation,Aces Transportation,"122 S Kingsley St Anaheim, CA 92806",,(714) 576-9602,Transportation Services,[],
Transportation,Specialized Transportation,"2379 Norwood Rd Livermore, CA 94550",,(925) 373-6655,Transportation Services,[],"Business Hours: Mon - Fri, 9am - 6pm; Sat, 10am - 5pm; Sun, closed"
Transportation,Pioneer Transportation,"6422 Bellingham Ave Ste 208 North Hollywood, CA 91606",,(323) 466-6253,"Limousine Service, Medical Transportation",[],
Transportation,Marca Transportation,"1612 Pristine Ct Modesto, CA 95357",,(209) 495-7718,Transportation Services,[],
Transportation,Transportation Dept,"21131 State Highway 97 Weed, CA 96094",,(530) 398-4543,"Transportation Programs, State Offices, Government Organizations & Services",[],
Transportation,Ffe Transportation,"5361 Santa Ana St Ontario, CA 91761",,(909) 390-7250,"Fraternal Organizations, Passenger Transportation, Refrigerated Trucking",[],
Transportation,Batra Transportation,"2791 Babe Ruth Dr San Jose, CA 95132",,(415) 623-6118,Transportation Services,[],
Transportation,Wings Transportation,"2247 26th Ave San Francisco, CA 94116",,(415) 664-3668,"Container Shipping, Transportation Services",[],
Transportation,Redefind Transportation,"3605 Long Beach Blvd Long Beach, CA 90807",,(562) 290-0140,Transportation Services,[],
Transportation,Omega Transportation,"6254 Jumilla Ave Woodland Hills, CA 91367",,(818) 264-0200,"Passenger Transportation, Taxis & Shuttles, Transportation Services",[],
Transportation,Payan Transportation,"14979 Fairhaven Dr Fontana, CA 92336",,(909) 239-0664,Transportation Services,[],
Transportation,Transportation Department,"3731 Sunset Ln Ste 200 Antioch, CA 94509",,(925) 778-3939,Transportation Services,[],
Transportation,Wright Transportation,"6861 Stanton Ave Buena Park, CA 90621",,(714) 676-4427,Transportation Services,[],
Transportation,Transportation Dept,"8910 Montezuma Rd Jamestown, CA 95327",,(209) 984-4437,"State Offices, Transportation Programs, Government Organizations & Services",[],
Transportation,Transportation Department,"1200 N Main St Fort Bragg, CA 95437",,(707) 964-4652,"State Offices, Transportation Programs, Government Organizations & Services",[],
Transportation,Martinez Transportation,"1028 Tremont St Los Angeles, CA 90033",,(323) 264-8456,Transportation Services,[],
Transportation,ADV Transportation,"130 W Central Ave Santa Ana, CA 92707",,(714) 957-6228,"Car Service, Car Movers, Airport Transportation, Transportation Services",[],
Transportation,Bulk Transportation,"415 S Lemon Ave Walnut, CA 91789",,(909) 594-2855,"Transportation Services, Trucking Companies",[],
Transportation,Sacramento Transportation,"901 F St Ste 110 Sacramento, CA 95814",,(916) 323-0080,"Legislative Offices, Transportation Services, Federal Offices",[],"Business Hours: Mon-Fri 6:30am-9:30am, Mon-Fri 2:30pm-6:30pm"
Transportation,Jimenez Transportation,"631 S Main St Santa Ana, CA 92701",,(714) 835-3557,Transportation Services,[],
Transportation,Square Transportation,"350 W Valley Blvd Rialto, CA 92376",,(909) 421-8090,"Passenger Transportation, Transportation Services, Trucking Companies",[],
Transportation,Transportation Department,"2553 Old Farm Rd Bakersfield, CA 93312",,(661) 588-6010,Transportation Services,[],
Transportation,Montemar Transportation,"12199 Chapman Ave Garden Grove, CA 92840",,(714) 801-2119,Transportation Services,[],
Transportation,Sheriffs Transportation,"1000 Ward St Martinez, CA 94553",,(925) 646-4664,Transportation Services,[],
Transportation,REM Transportation,"1210 San Mateo Ave South San Francisco, CA 94080",,(650) 588-5956,"Transportation Services, Transit Lines",[],
Transportation,Transportation Department,"21420 Golden Springs Dr Walnut, CA 91789",,(909) 598-1173,"State Offices, Government Organizations & Services, Transportation Programs",[],Business Hours: Mon-Fri 8:30am-5pm
Transportation,Royal Transportation,"9115 Judicial Dr Apt 4203 San Diego, CA 92122",,(858) 531-5004,Transportation Services,[],
Transportation,United Transportation,"2814 Angel Dr Stockton, CA 95209",,(209) 477-1895,Transportation Services,[],
Transportation,Kim's Transportation,"27 Visalia Irvine, CA 92602",,(949) 275-8472,Transportation Services,[],
Transportation,Transportation Dept,"380 Foster City Blvd Foster City, CA 94404",,(650) 257-7308,"Transportation Programs, Government Organizations & Services",[],
Transportation,Elite Transportation,"16515 E Nebraska Ave Reedley, CA 93654",,(559) 637-2198,"Transportation Services, Trucking Companies",[],
Transportation,Transportation Group,"4630 Campus Dr Newport Beach, CA 92660",,(949) 260-8487,Transportation Services,[],
Transportation,Mv Transportation,"940 Maulhardt Ave Oxnard, CA 93030",,(805) 485-1624,"Transportation Services, Passenger Transportation",[],
Transportation,All Transportation,"235 Dorris Pl Stockton, CA 95204",,(209) 565-5235,"Transportation Services, General Contractors",[],
Transportation,Carlisle Transportation,"1990 S Vintage Ave Ontario, CA 91761",,(909) 605-1978,"Wholesalers, Tire Manufacturers, Manufacturers, Transportation Services",[],
Transportation,Transportation Dept,"1685 Main St Santa Monica, CA 90401",,(310) 451-5444,Transportation Programs,[],
Transportation,Basic Transportation,"1820 Arroyo Vista Way El Dorado Hills, CA 95762",,(916) 933-0020,Transportation Services,[],
Transportation,Secured Transportation,"3780 Kilroy Airport Way Ste 220 Long Beach, CA 90806",,(562) 941-0107,Transportation Services,[],
Transportation,Ellco Transportation,"3615 S Highway 99 Stockton, CA 95215",,(209) 594-0064,"Passenger Transportation, Transportation Services",[],
Transportation,Transportation Dept,"771 N Chappell Rd Hollister, CA 95023",,(831) 637-1328,"State Offices, Transportation Programs, Government Organizations & Services",[],
Transportation,Crowne Transportation,"200 Burma Rd Oakland, CA 94607",,(510) 763-6675,Transportation Services,[],
Transportation,Transportation Department,"915 I St Ste 2000 Sacramento, CA 95814",,(916) 808-8300,Transportation Services,[],
Transportation,Redsam Transportation,"209 T St Bakersfield, CA 93304",,(661) 322-0209,Transportation Services,[],
Transportation,Bernardo Transportation,"3006 Flint St Union City, CA 94587",,(510) 477-9926,"Motor Freight Trucking, Trucking Companies, Transportation Services",[],
Transportation,Hecny Transportation,"8933 S La Cienega Blvd Inglewood, CA 90301",,(310) 338-3333,"Freight Forwarding, Transportation Services",[],
Transportation,Savco Transportation,"6402 Denton Way Citrus Heights, CA 95610",,(916) 912-5528,Transportation Services,[],
Transportation,Floyds Transportation,"4088 Crown Point Dr San Diego, CA 92109",,(858) 270-5319,Transportation Services,[],
Transportation,Covenant Transportation,"7 W Acacia St Ste 1B Stockton, CA 95202",https://apis.elocal.com/tracker/track?q=dd0993be2b766be8b38486fe30320c2e1f04834ef280c5f41ab03a81f25a1882c56c51996b1df2521f52998f57050a27a527a52a102908da87ed6582f76c09840074b0890354c6956dec42f1c18b6433e2e53d0df36ffbe0c6326f7a10fe4125807df741e620411a0504363468dec8b913ad223fed2dabcd1974b9f05ef816913820e4ee17ae0fc03b29726022c062fb505d7fcb13ee1b287471b35e9b561f30a17235f5722738f33ed6a16c728e0bf34ef912589facc2af7e1a4cd19edd4032fb34860078d0ae3c52e1699f67242342675b46ec9d463318794be0398b5f288e0289bfb30da1a2d25732718571b4d39c34096d6bb28b2e05284007e9b9d4ff21c07b32321a164fdba0e683bd5ecf6ebfd17dd1a03d1d4922e0ad6af193fdee2e37d7c24f68da2eec2d57932c1f73489054891eb33b409f2d6b2dde1c69c464abe0f5ffb75713702ab553322d43a5401636b43b62a58899ed8f9047607b0e96de29ad24fa0f64a6a6687279940675d41e6f984a487d861753ea782d47b73ef7a55c5f70114fbc3a126be03d242bb9a0e28fdfcbb353ea793e7667c6b2cf4c67f2116584df1fa2729cf47887030237f034a0749b64bee2f14cea6923dd4ff1d3a2f4b9890488f2eaa57509d663f5895a858d7d46144e3406066918e5f72336b46eeea57d283fb2c41dd6f5ee98cb4be7508e9a0f6f4f0bbfa0fa51fa6710ee05b0c85b8fac07755c792d49ed86e9ca01fdb97d04dbe6f62765f71a4c6fb1cc032e99c8d69467b7449808d3c81cd24e6e842a8cbcc2a982b29a88c0ec2db1dd9dde2ede2a9d380e06b532ee4c04aaa22c6e1eddfee2624d7d8847497eff80a5b941fc405202299d8323c9cd7b05ef547dcab9ea86a3ab3441625ee2c789c444105bcf05809d6a61c4f6a2c9a45d38bb7a8fc7611c4244d01be57d0db34955c0be835f3f3adc3287693e32859b1b39d1e7d5fc7084413a4c757b99ef2b756b2e7bcf,(209) 689-0950,"Non Emergency Medical Transport , Stretcher or Gurney services and wheelchair and ambulatory services .",[],
Transportation,Dirksen Transportation,"14315 Pipeline Ave Chino, CA 91710",,(209) 824-8877,Transportation Services,[],
Transportation,Juuni Transportation,"3468 Citrus St Ste F Lemon Grove, CA 91945",,(619) 303-2307,Transportation Services,[],
Transportation,Transportation Dept,"125 W Almond Ave Madera, CA 93637",,(559) 674-7118,"State Offices, Transportation Programs, Government Organizations & Services",[],
Transportation,Albatross Transportation,"5862 Beck Ave North Hollywood, CA 91601",,(888) 885-2974,"Taxis, Transportation Services, Tours & Excursions",[],Business Hours: Mon - Sun 12:00 am - 11:59 pm
Transportation,Omniah Transportation,"265 W Tulip Tree Ave Orange, CA 92865",,(714) 279-9535,"Transportation Services, Transit Lines",[],
Transportation,Transportation Department,"1314 7th St Berkeley, CA 94710",,(510) 644-6182,Transportation Services,[],
Transportation,Osito's Transportation,"17155 Randall Ave Fontana, CA 92335",,(323) 514-5336,Transportation Services,[],
Transportation,Southwestern Transportation,"250 E Rincon St Ste 203 Corona, CA 92879",,(951) 340-3325,"Bus Travel, Transportation Programs, General Government Offices, Passenger Transportation",[],
Transportation,Ancon Transportation,"22707 Wilmington Ave Carson, CA 90745",,(310) 522-5110,"Research, Transportation Services",[],
Transportation,Boris Transportation,"16800 Ponderosa Ln Riverside, CA 92504",,(951) 789-0599,Transportation Services,[],
Transportation,Brite Transportation,"10674 Jackson Ave Hanford, CA 93230",,(559) 583-8058,"Trucking Companies, Transportation Services",[],
Transportation,Williams Transportation,"250 W El Camino Real Sunnyvale, CA 94087",,(813) 900-5921,Transportation Services,[],
Transportation,Elston Transportation,"20 Park Ave Walnut Creek, CA 94595",,(925) 945-6093,Transportation Services,[],
Transportation,Assured Transportation,"11205 Knott Ave Cypress, CA 90630",,(714) 379-2677,Transportation Services,[],
Transportation,Transportation Dept,"5611 Sebastopol Ave Sebastopol, CA 95472",,(707) 823-3156,"State Offices, Transportation Programs, Government Organizations & Services",[],
Transportation,Buckeye Transportation,"2480 Merrychase Dr Cameron Park, CA 95682",,(916) 933-0398,"Taxis & Shuttles, Transportation Services, Car Service, Government Organizations & Services, Passenger Transportation",[],
Transportation,Campbell Transportation,"1230 S Dale Ave Apt 111 Anaheim, CA 92804",,(714) 420-7352,Transportation Services,[],
Transportation,Oco Transportation,"3940 Ingraham St San Diego, CA 92109",,(858) 490-0112,"Moving Companies, Transportation Services",[],
Transportation,Rusok Transportation,"27082 Oneill Dr Apt 534 Ladera Ranch, CA 92694",,(949) 606-4473,Transportation Services,[],
Transportation,Ans Transportation,"760 Oak Grove Ct Ojai, CA 93023",,(805) 500-5374,"Passenger Transportation, Trucking Companies, Transportation Services",[],
Transportation,Transportation Service,"333 Sunset Ave Ste 230 Suisun City, CA 94585",,(707) 421-6060,Transportation Services,[],
Transportation,Willsway Transportation,"9310 Haskell Ave North Hills, CA 91343",,(818) 830-9346,"Taxis & Shuttles, Passenger Transportation, Transportation Services",[],
Transportation,Gill Transportation,"15293 Mission St Hesperia, CA 92345",,(760) 912-7531,Transportation Services,[],
Transportation,Transportation Department,"1200 Olive Dr Bakersfield, CA 93308",,(661) 391-3810,"Transportation Programs, State Offices, Government Organizations & Services",[],
Transportation,Mode Transportation,"638 De las Flores St Calexico, CA 92231",,(760) 357-1611,"Trucking Companies, Transportation Services, Passenger Transportation",[],
Transportation,A1 Transportation,"4733 W Spruce Ave Fresno, CA 93722",,(559) 579-1483,Transportation Services,[],
Transportation,DC Transportation,"2610 Antares Ct Merced, CA 95341",,(909) 621-1132,Transportation Services,[],
Transportation,Scls Transportation,"1110 N Brand Blvd Ste 101A Glendale, CA 91202",,(818) 779-1200,"Transportation Services, Limousine Service, Transit Lines",[],
Transportation,Jvx Transportation,"1317 Monroe Ct Woodland, CA 95776",,(530) 662-2749,Transportation Services,[],
Transportation,Arctic Transportation,"13493 Silver Ln Moreno Valley, CA 92553",,(323) 992-5278,Transportation Services,[],
Transportation,Kingsview Transportation,"760 Enterprise Ct Atwater, CA 95301",,(209) 358-7228,"Transportation Services, Mental Health Services",[],
Transportation,Ventura Transportation,"13948 Euclid Ave Chino, CA 91710",,(909) 364-8209,Transportation Services,[],
Transportation,Mode Transportation,"9731 Siempre Viva Rd San Diego, CA 92154",,(972) 270-5800,Transportation Services,[],
Transportation,Castaic Transportation,"27051 Henry Mayo Dr Valencia, CA 91355",,(661) 294-1427,Transportation Services,[],
Transportation,Aho Transportation,"16835 Lynn Ln Apt A Huntington Beach, CA 92649",,(562) 587-2551,Transportation Services,[],
Transportation,Fdl Transportation,"2501 Illinois Ave South Gate, CA 90280",,(323) 569-9304,Transportation Services,[],
Transportation,Reliable Transportation,"2043 Ross St Vernon, CA 90058",,(323) 813-0120,"Car Movers, Transportation Services",[],
Transportation,Precision Transportation,"4650 W Celeste Ave Fresno, CA 93722",,(559) 375-8112,Transportation Services,[],
Transportation,Fcoc Transportation,"455 W 57th St Los Angeles, CA 90037",,(323) 816-8882,Transportation Services,[],
Transportation,Blf Transportation,"1331 159th Ave Apt 419 San Leandro, CA 94578",,(510) 533-0829,Transportation Services,[],
Transportation,Transportation Department,"8421 Gerber Rd Sacramento, CA 95828",,(916) 686-7733,"Transportation Services, School Buses",[],
Transportation,Transportation Dept,"2187 Riverside Dr Los Angeles, CA 90039",,(213) 620-4745,"Government Organizations & Services, Transportation Programs, State Offices",[],
Transportation,Ortley Transportation,"7223 Alondra Blvd Paramount, CA 90723",,(562) 630-7500,"Passenger Transportation, Transportation Services, Bus Charters, Taxis & Shuttles, Bus Travel",[],
Transportation,Villarreal Transportation,"1559 W 206th St Torrance, CA 90501",,(310) 872-8104,Transportation Services,[],
Transportation,Rpm Transportation,"2450 Statham Blvd Oxnard, CA 93033",,(805) 204-2400,"Heavy Hauling, Transportation Services, Passenger Transportation, Trucking Companies",[],
Transportation,Mv Transportation,"1242 Los Angeles St Glendale, CA 91204",,(818) 409-3387,"Transit Lines, Special Trade Contractors, Passenger Transportation, General Contractors, Transportation Services, Taxis & Shuttles",[],
Transportation,Spencer Transportation,"PO Box 1467 Fallbrook, CA 92088",,(760) 723-7363,"Trucking Companies, Transportation Services",[],
Transportation,Sunny's Transportation,"1946 W Lodi Pl Anaheim, CA 92804",,(714) 707-0477,Transportation Services,[],
Transportation,Transportation Dept,"33685 Road 248 Lemon Cove, CA 93244",,(559) 597-2424,"Government Organizations & Services, Transportation Programs",[],
Transportation,Windstar Transportation,"1230 31st Ave San Mateo, CA 94403",,(650) 888-0021,Transportation Services,[],
Transportation,Baycities Transportation,"210 Industrial Rd Ste 201 San Carlos, CA 94070",,(650) 610-1059,"Transportation Services, Taxis",[],
Transportation,Transportation Dept,"301 County Road 176 Tulelake, CA 96134",,(530) 664-2371,"Government Organizations & Services, State Offices, Transportation Programs",[],
Transportation,Vasquez Transportation,"1267 Eric Ave Parlier, CA 93648",,(559) 257-7732,Transportation Services,[],
Transportation,Jit Transportation,"1568 Montague Expy San Jose, CA 95131",,(408) 435-5550,Transportation Services,[],
Transportation,Auburn Transportation,"12170 Herdal Dr Auburn, CA 95603",,(530) 401-0444,Transportation Services,[],Business Hours: Daily 24 Hours
Transportation,Dawn Transportation,"508 Barringham Ln Modesto, CA 95350",,(209) 523-6266,"Trucking Companies, Transportation Services",[],
Transportation,Elias-Transportation,"8965 Palmerson Dr Antelope, CA 95843",,(916) 997-5870,Transportation Services,[],
Transportation,Transportation,"129 Berry St Roseville, CA 95678",,(916) 786-2723,"School Buses, K-12 Schools",[],Business Hours: Mon. - Fri. 6:45am - 3:15pm;Sat. - Sun. CLOSED
Transportation,Gmd Transportation INC,"7441 W Sunset Blvd Los Angeles, CA 90046",,(323) 874-4085,"Disabled Employment, Health Care Equipment, Medical Transportation, Ambulances, Transportation Services, Emergency Medical Services, Humidifiers, Catheters",[],
Transportation,Valley Medical Transportation,"1120 N Chinowth St Visalia, CA 93291",,(559) 734-8743,"Passenger Transportation, Transportation Services, Emergency Medical Services, Taxis & Shuttles, Ambulances, Health Care Equipment, Catheters, Humidifiers, Beauty Salons",[],
Transportation,Tlc Medical Transportation,"5751 Excelsior Rd Sacramento, CA 95827",,(916) 368-5202,"Medical Services, Catheters, Emergency Medical Services, Passenger Transportation, Health Care Equipment, Disabled Employment, Humidifiers, Ambulances",[],Business Hours: Daily 24 Hours
Transportation,Hb Medical Transportation,"357 W 2nd St San Bernardino, CA 92401",,(909) 381-3157,"Ambulances, Medical Transportation, Transportation Services",[],
Transportation,Mercy Medical Transportation,"5026 Broadway Rd Coulterville, CA 95311",,(209) 878-3354,"Ambulances, Transportation Services",[],
Transportation,Piticu Transportation Inc,"16880 Valley Spring Dr Riverside, CA 92503",,(661) 406-7850,Transportation Services,[],
Transportation,Riverside Transportation Dept,"38686 El Cerrito Rd Palm Desert, CA 92211",,(760) 863-8267,"Transportation Programs, County Offices",[],
Transportation,J Brothers Transportation,"800 Turnbull Canyon Rd City of Industry, CA 91745",,(626) 333-6230,"Freight Forwarding, Transportation Services",[],
Transportation,Transportation Dept-Maintenanc,"3115 Kern River Canyon Rd Bodfish, CA 93205",,(760) 379-2808,"State Offices, Government Organizations & Services, Transportation Programs",[],
Transportation,Bay Area Transportation,"1605 Vine St Belmont, CA 94002",,(650) 593-6372,Transportation Services,[],
Transportation,Progressive Transportation Svc,"305 Fyffe Ave Stockton, CA 95203",,(209) 462-4800,Transportation Services,[],
Transportation,Sonrise Transportation Svc,"1372 Sandstone Dr Brentwood, CA 94513",,(925) 516-6780,Transportation Services,[],
Transportation,Signature Executive Transportation,"8724 Millergrove Dr Santa Fe Springs, CA 90670",,(626) 400-5044,Transportation Services,[],
Transportation,D W Transportation,"1524 Centinela Ave Inglewood, CA 90302",,(310) 330-0111,Transportation Services,[],
Transportation,Corinthian Parking & Transportation,"6601 Center Dr W Fl 5 Los Angeles, CA 90045",,(310) 836-2222,Transportation Services,[],
Transportation,Agile Transportation INC,"3400 Newton Rd Stockton, CA 95205",,(209) 469-2445,"Trucking Companies, Transportation Services",[],
Transportation,Transportation California Dept,"604 S Flower St Burbank, CA 91502",,(323) 849-5028,Transportation Services,[],
Transportation,Fargo Transportation Service,"384 Oyster Point Blvd South San Francisco, CA 94080",,(415) 957-1888,Transportation Services,[],
Transportation,Vertex Transportation INC,"15859 Edna Pl Baldwin Park, CA 91706",,(626) 337-3300,Transportation Services,[],
Transportation,MV Transportation Inc,"121 Main St Half Moon Bay, CA 94019",,(650) 560-0360,Transportation Services,[],
Transportation,Corp Multiline Transportation,"4763 W Spruce Ave Fresno, CA 93722",,(559) 573-8064,Transportation Services,[],
Transportation,American Transportation Admin,"600 La Terraza Blvd # 2 Escondido, CA 92025",,(760) 518-9906,Transportation Services,[],
Transportation,Moss Transportation & Moving,"5076 Via Papel San Diego, CA 92122",,(858) 277-9475,"Transportation Services, Moving Companies",[],
Transportation,Action Sedan Transportation,"2620 Elden Ave Apt D1 Costa Mesa, CA 92627",,(949) 548-7379,"Transportation Services, Airport Transportation",[],
Transportation,H M Transportation,"102 Via Contento Rancho Santa Margarita, CA 92688",,(949) 310-6125,Transportation Services,[],
Transportation,Transportation Dept-California,"6050 Paseo del Norte Carlsbad, CA 92011",,(760) 438-4970,"Government Organizations & Services, Transportation Programs, State Offices",[],
Transportation,M V Transportation,"14660 Raymer St Van Nuys, CA 91405",,(818) 786-0765,"Passenger Transportation, Transportation Services",[],
Transportation,Millennium Transportation Inc,"556 S Fair Oaks Ave Pasadena, CA 91105",,(424) 208-6990,Transportation Services,[],
Transportation,Safe Ride Transportation,"1714 W Dakota Ave Fresno, CA 93705",,(559) 515-2030,Transportation Services,[],
Transportation,Black Tiger Transportation,"583 El Cajon Blvd El Cajon, CA 92020",,(619) 457-0577,Transportation Services,[],Business Hours: Mon-Fri 10am-3pm
