industry,business name,address,external link,phone number,business hours,additional_info,emails,teaser
Construction,Tri Construction,"6043 Bridalveil Dr El Paso, TX 79924",,(915) 503-2311,Business Hours: Mon. - Fri. 8am - 5pm;Sat. 8am - 4pm;Sun. CLOSED,"Painters, Concrete Foundation Installation, Handyman, Roof Repair, Roofing Inspections, Home Repair & Service, Paint Removal, Repair Screens, Gazebo Builders, Concrete Sealing, Cabinet Refacing, Build Pergolas, Install Sod, Waste Management, Fence Contractors, Culverts, Residential Designers, Bathroom Remodeling, Tile Roof Repair, Textured Painting, Dry Wall Contractors, Skylight Installation, Building Designers, Floor Coverings, Fixtures, Pool Enclosures, Sun Rooms, Install Slate Roofs, Roof Sealant Application, Home Remodeling Contractors, Floor Contractors, Door Repair, Carpet Layers, Masonry, Wood Siding Repair, Stamped Concrete Walls, Asphalt Shingle Installation, Demolition Contractors, Tile Contractors, Garage Door Repair, Concrete Contractors, Disability Remodeling, Metal Roofing Contractors, Kitchen Remodeling, Power Washing, Install Poured Concrete Walls, Faux Finishes, Plastering Contractors, Construction Site Clean-Up, Storm Window Repair, Landscaping, Residential Construction, Asphalt Paving Contractors, General Contractors, Roofing Contractors, Cabinet Installation, Deck Builders, Roof Cleaning, Garage Builders, Home Improvement Stores, Framing Contractors, Awning & Canopy Maintenance, Window Repair, Concrete Resurfacing, Repair Poured Concrete Walls, Other Nonresidential Construction, Ceilings, Door Hanging, Patio & Deck Cleaning & Restoration, Concrete Stamping, Carport Construction, Install Retaining Walls, Electrical Contractors, Landscape Designers, Architects, Paint Metal Roofing, Tile Roof Installation, Flat Roof Installation, Storm Shelter Contractors, Window Replacement",[],
Construction,CC Construction-,"4401 Weiskopf Ln Corpus Christi, TX 78413",,(361) 206-8544,,"Other Nonresidential Construction, Roofing Contractors, Construction & Remodeling, Construction Companies, Roofing Consultants, Construction Consultants, Siding Contractors",[],
Construction,Axis Construction,"2610 Grant St Wichita Falls, TX 76309",,(940) 264-2947,,"Construction Management, Real Estate Developers, General Contractors, Plumbing Contractors, Home Remodeling Contractors, Heavy Construction",[],
Construction,Evans Construction,"2943 N El Centro Way Dallas, TX 75241",,(800) 515-3033,Business Hours: M-F 8am-5pm,"General Contractors, Fence Contractors, Patio & Deck Cleaning & Restoration, Construction & Remodeling, Concrete Foundation Installation, Construction Companies, Demolition Contractors, Concrete Contractors, Home Remodeling Contractors, Culverts, Construction Consultants, Install Poured Concrete Walls, Stamped Concrete Walls, Install Retaining Walls, Special Trade Contractors, Asphalt Paving Contractors, Concrete Stamping",[],
Construction,Standley Construction,"180 AN County Road 2106 Palestine, TX 75801",,(888) 841-3830,"Business Hours: Mon-Sat 8am-6pm, Sun Closed","Construction Consultants, Home Repair & Service, Construction Companies, General Contractors, Construction & Remodeling",[],
Construction,Willis Construction,"503 E 1st St Dumas, TX 79029",,(806) 935-6951,Business Hours: Mon-Fri 8am-5pm,"Construction Companies, Disability Remodeling, Other Nonresidential Construction, Patio Builders, Home Remodeling Contractors, General Contractors, Real Estate Developers, Home Builders, Household Storage, Heavy Construction, Deck Builders, Homestays, Construction & Remodeling, Plumbing Contractors, Roofing Contractors, Metal Buildings",[],
Construction,Stillo Construction,"6201 W 34th St Ste C Houston, TX 77092",,(713) 682-2924,Business Hours: Mon-Fri 8am-5pm,"Construction Companies, Synthetic Stucco Siding Installation, Construction Consultants, Synthetic Stucco Siding Repair, Stucco Repair, Stucco Contractors, General Contractors",[],
Construction,Fore Construction,"150 Texas Ave Ste 100 Round Rock, TX 78664",,(512) 904-0790,,"Construction Consultants, General Contractors, Construction Management",[],
Construction,Lamson Construction,"1011 61st St Galveston, TX 77551",,(409) 741-1616,,"General Contractors, Construction Consultants, Construction Management, Construction & Remodeling",[],
Construction,Jaguar Construction,"534 Pitaya Dr Laredo, TX 78046",,(956) 251-2172,"Business Hours: Mon - Fri 9:00 am - 6:00 pm, Sat - Sun Closed","Home Builders, Construction Companies, Home Repair & Service, Real Estate Developers, Unclassified, Roofing Contractors, Construction Consultants, Metal Buildings, Roofing Consultants, Bathroom Remodeling, Kitchen Remodeling, Home Repair & Service, Other Nonresidential Construction",[],
Construction,Reynolds Construction,"12102 Stewart Rd Galveston, TX 77554",,(409) 939-8033,Business Hours: mon 8:00am-5:00pm;tue 8:00am-5:00pm;wed 8:00am-5:00pm;thu 8:00am-5:00pm;fri 8:00am-5:00pm;,"Concrete Contractors, Patio Builders, Brick Manufacturers, Home Builders, General Contractors, Fencing Instruction, Concrete Contractors, Construction Consultants, Culverts, Real Estate Developers, Block Wall Installation, Wholesale Concrete Additives, Fireplaces, Stone Wall Repair, Retaining Walls, Fence Contractors, Chemical Manufacturers, Other Nonresidential Construction, Construction Companies, Masonry",[],
Construction,Stallion Construction,"10097 Highway 90 Beaumont, TX 77713",,(409) 866-8111,,"Construction Management, General Contractors, Construction Consultants, Oil & Gas Production, Oil Field Contractors",[],
Construction,Colby Construction,"2024 County Road 388 Cleveland, TX 77328",,(281) 592-2703,,"General Contractors, Construction Companies, Statuary, Excavating Contractors, Road Construction, Land Clearing & Leveling, Wholesale Sand & Gravel, Dump Trucking, Paving Contractors, Lawn & Garden",[],
Construction,Huse Construction,"2655 County Road 176 Breckenridge, TX 76424",,(254) 559-3200,,"Construction Management, Construction Consultants",[],
Construction,Construction Estimates,"105 Palo Duro Cv Kyle, TX 78640",,(512) 262-6060,,"General Contractors, Construction Companies, Construction Consultants",[],
Construction,Performance Construction,"801 Lyle West Ave Cleveland, TX 77327",,(281) 592-9232,Business Hours: Mon-Fri 9am-5pm,"Carport Construction, General Contractors, Masonry, Concrete Contractors, Concrete Contractors, Wholesale Carports, Metal Buildings, Culverts",[],
Construction,Beckett Construction,"7134 Tealeaf St San Antonio, TX 78238",,(210) 521-3838,,"Garage Builders, Construction & Remodeling, Carport Construction",[],
Construction,Medina's Construction,"1124 E 28th St Houston, TX 77009",,(713) 861-6723,,"Carpenters, Heavy Construction, Framing Contractors",[],
Construction,Flowers Construction,"14 Applegate Cir Round Rock, TX 78665",,(512) 238-1088,,"Architects, Construction Consultants",[],
Construction,Guy's Construction,"3113 E Denman Ave Lufkin, TX 75901",,(936) 637-3981,,"Metal Manufacturers, Wholesale Rock, Auto Wreckers, Wholesale Sand & Gravel, Recycling, Wholesale Scrap Materials, Heavy Construction, Real Estate Developers, Wholesale Recycling Depots, Plumbing Contractors, Garbage Collection, Home Improvement Stores, Fixtures, General Contractors",[],
Construction,DW Construction,"307 S Yale St Marfa, TX 79843",,(432) 295-0147,,"Kitchen Remodeling, Carport Construction, Basement Remodeling, Bathroom Remodeling, Garage Builders, Home Remodeling Contractors, Insulation Contractors",[],
Construction,JR's Construction,"3402 S Malinche Ave Laredo, TX 78046",,(956) 220-4693,,"Millwork, Custom Furniture, Fence Contractors, Home Remodeling Contractors, Roofing & Siding, Build Pergolas, Yurt Manufacturers, Home Repair & Service, Garage Builders, Deck Builders, Disability Remodeling, Residential Construction, Dock Builders, Patio Builders, Patio & Deck Cleaning & Restoration, Carport Construction, Stair Builders, Framing Contractors, Sun Rooms",[],
Construction,Herron Construction,"4404 Cardiff Ave Fort Worth, TX 76133",,(817) 589-4215,,"General Contractors, Heavy Construction",[],
Construction,Ponvar Construction,"2417 Wyoming Ave El Paso, TX 79903",,(915) 544-2810,Business Hours: Mon - Fri 8:00 am - 7:00 pm,"Construction Engineers, Structural Engineers, Professional Engineers",[],
Construction,Buccaneer Construction,"2211 Anders Ln # B Kemah, TX 77565",,(832) 632-1197,,"General Contractors, Construction Engineers",[],
Construction,Abbe Construction,"5710 122nd St Lubbock, TX 79424",,(806) 783-0990,,"Real Estate Developers, Construction & Remodeling, Home Builders, Heavy Construction, General Contractors",[],
Construction,Abbott Construction,"5230 Newt Patterson Rd Mansfield, TX 76063",,(817) 478-4503,,"Concrete Contractors, Paving Contractors, Road Construction",[],
Construction,Hill's Construction,"1610 Durham Ave Brownwood, TX 76801",,(325) 642-8635,,"Construction Consultants, Architects",[],
Construction,Pet Construction,"3469 E Main St Midlothian, TX 76065",,(972) 723-3815,,"Paving Contractors, Excavating Contractors, Concrete Contractors, General Contractors, Utility Contractors, Concrete Contractors, Foundation Contractors, Heavy Construction, Real Estate Developers, Excavation Work, Culverts, Other Nonresidential Construction",[],
Construction,Spicer Construction,"12906 River Bnd Austin, TX 78732",,(512) 266-9551,,Heavy Construction,[],
Construction,Fisher Construction,"1232 Felix Fisher Rd Hunt, TX 78024",,(830) 238-3262,,"Pond Construction, Land Clearing & Leveling, Stone Setting Contractors, Road Building Contractors, General Contractors, Excavating Contractors, Bulldozing",[],
Construction,Pepper Lawson Construction,"3160 Bee Caves Rd Ste 301 Austin, TX 78746",,(512) 493-5470,,"Construction Management, Construction Companies, General Contractors, Construction Consultants",[],
Construction,Millis Dev & Construction,"322 Bomar St Houston, TX 77006",,(713) 523-4623,,"Construction Management, Business Organizations, Construction Consultants",[],
Construction,Pitts Construction Inc,"808 Airport Blvd Austin, TX 78702",,(512) 327-4040,,"Construction & Remodeling, General Contractors, Construction Consultants, Construction Management",[],
Construction,K & S Construction,"3008 N Jackson St Jacksonville, TX 75766",,(903) 284-6240,,"Construction Companies, Construction Consultants",[],
Construction,Thedford Construction Co,"5117 Steel Rd Tyler, TX 75703",,(903) 561-1584,Business Hours: Mon-Thu 7am-5:30pm,"Utility Contractors, General Contractors, Real Estate Developers, Construction & Remodeling, Boring Contractors, Heavy Construction, Plumbing Contractors, Drilling & Boring Contractors, Construction Companies",[],
Construction,Contech Construction Products,"404 E Ramsey Rd Ste 109 San Antonio, TX 78216",,(210) 737-1129,Business Hours: Mon-Fri 8am-5pm,"Heavy Construction, Wholesale Pipe, Construction Companies, Sheet Metal Work Contractors, Wholesale Plumbing & Heating Equipment",[],
Construction,Trent Williams Construction,"3450 Shiloh Rd Tyler, TX 75707",,(903) 581-6161,Business Hours: Mon - Fri 9:00 am - 5:00 pm,"Home Builders, Construction & Remodeling, Real Estate Developers, Construction Consultants, Other Nonresidential Construction, General Contractors, Construction Management, Construction Companies, Nursing Homes",[],
Construction,Arch Construction L.L.C,"5504 Bandera Rd San Antonio, TX 78238",,(855) 766-1818,Business Hours: M-F 8:00am - 6:00pm,"Construction Consultants, Construction & Remodeling, Contract Interior Designers, Construction Companies, Building Designers, Residential Construction, General Contractors, Handyman",[],
Construction,Gallagher Construction Service,"2600 Technology Dr Plano, TX 75074",,(972) 633-0564,Business Hours: Daily 24 Hours,"Construction Management, Heavy Construction, Insurance Agents & Brokers, Construction Companies, General Contractors, Government Contractors",[],
Construction,Zachry Construction Corp,"527 Logwood Ave San Antonio, TX 78221",,(210) 922-1213,,"Construction Management, Heavy Construction, Industrial Construction, Concrete Products, Other Nonresidential Construction, Road Building Contractors, General Contractors, Construction Companies, Brick Manufacturers, Wholesale Construction Equipment, Non-Bank Holding Companies, Electrical Contractors, Government Contractors, Wholesale Importers, Utility Contractors, Cement Manufacturers",[],
Construction,Briggs Construction Co,"2210 Hunter Rd # A San Marcos, TX 78666",,(512) 353-1251,Business Hours: Mon-Fri 8am-5pm,"Real Estate Developers, Home Builders, Roofing Contractors, Plumbing Contractors, Heavy Construction, General Contractors, Construction & Remodeling, Construction Companies, Other Nonresidential Construction, Home Remodeling Contractors",[],
Construction,Borg Construction & Remodeling,"6513 Bluebonnet Dr Rowlett, TX 75089",,(972) 463-0023,,"Construction Consultants, Construction Companies, General Contractors, Architects",[],
Construction,Springwood General Construction,"11768 Ronald McNair Dr El Paso, TX 79936",,(915) 433-1463,Business Hours: Mon-Fri 8am-5pm ; Sat 9am-1pm ; Appointments Available,"Video Equipment, Construction Consultants, Home Repair & Service, Ironwork, Audio-Visual Equipment Repair, Home Repair & Service, Dry Wall Contractors, Other Nonresidential Construction, Painting & Papering, Painters, Closet Design & Remodeling, General Contractors, Sound System Manufacturers, Plastering Contractors, Home Theater Systems, Construction Companies, Consumer Electronics",[],
Construction,Dnt Construction LLC,"18952 Redland Rd Ste 2 San Antonio, TX 78259",,(210) 490-6700,,"Construction Consultants, General Contractors, Excavating Contractors, Construction Management, Construction Companies",[],
Construction,P M Construction,"205 N Richey St Pasadena, TX 77506",,(713) 740-6030,,"Construction Consultants, General Contractors, Construction Management",[],
Construction,Hill Jack Construction,"806 Pecan St Del Rio, TX 78840",,(830) 488-6369,,"Construction Companies, Construction Engineers, General Contractors",[],
Construction,Ace Construction & Roofing,"2006 Laney Dr Sanger, TX 76266",,(817) 480-2704,Business Hours: Daily 7am-7pm,"Construction Consultants, Fire Damage Restoration, Concrete Resurfacing, General Contractors, Paving Contractors, Vinyl Siding Repair, Repair Metal Siding, Install Composite Roofs, Holiday Lighting, Roofing Inspections, Construction Companies, Roof Repair, Vinyl Siding Installation, Demolition Contractors, Metal Roofing Contractors, Residential Construction, Metal Roof Repair, Asphalt Shingle Installation, Roofing Consultants, Awning & Canopy Maintenance, Roofing & Siding, Wood Siding Repair, Home Repair & Service, Roofing Contractors",[],
Construction,Four Star Construction,"6051 US Highway 87 Dumas, TX 79029",,(806) 935-6786,,"Heavy Construction, Plumbing Contractors, Welding, Ready Mixed Concrete, Other Nonresidential Construction, Oil Field Contractors, Concrete Contractors, Real Estate Developers, Construction Companies, Construction Consultants, General Contractors, Concrete Products, Culverts",[],
Construction,Contech Construction Products,"232 Oakland Rd Schulenburg, TX 78956",,(979) 743-4123,Business Hours: Mon-Fri 8am-5pm,"Fabricated Metal Products, Precision Grinding, Wholesale Pipe, Sheet Metal Work Contractors, General Contractors, Metal Manufacturers, Bridge Builders, Pipe Manufacturers, Fabricated Structural Metal Manufacturers, Construction Companies, Engineering, Fabricated Pipe Manufacturers, Heavy Construction",[],
Construction,Joslin Construction Co,"21518 W Wallis Dr Porter, TX 77365",,(281) 354-5840,,"Trucking Companies, Construction Consultants, Construction & Remodeling, Construction Companies, Utility Contractors",[],
Construction,Abbate Construction Inc.,"12292 Twin Lakes Cir College Station, TX 77845",,(979) 764-2767,Business Hours: Mon-Fri 8am-5pm,"Home Builders, Bathroom Remodeling, Deck Builders, Foundation Contractors, Masonry, Other Nonresidential Construction, Construction Consultants, Construction & Remodeling, Home Remodeling Contractors, Kitchen Remodeling, Patio Builders, Construction Companies, Residential Construction, Real Estate Developers, Painters",[],
Construction,Powerline Construction Inc,"1387 US Highway 59 S Edna, TX 77957",,(361) 782-6735,,"Construction Consultants, Government Contractors, Construction Management",[],
Construction,Brown & Merritt Construction,"2708 Carrolton St Houston, TX 77023",,(713) 923-5411,,"Construction Consultants, Construction & Remodeling, Construction Management",[],
Construction,Midtown Roofing & Construction,"3402 Windsor Pkwy Corinth, TX 76210",,(877) 886-0185,Business Hours: Mon - Sun Open 24 Hours,"Construction Companies, Construction Consultants, Roofing Consultants, Roofing Contractors",[],
Construction,Crawley Shoreline Construction,"225 Jordan Rd Beach City, TX 77523",,(281) 383-3665,,"Construction Consultants, Construction Companies",[],
Construction,Southwest Construction Svc,"2015 Southwood Dr New Caney, TX 77357",,(281) 447-5656,,"Architects, Construction Consultants, Construction Companies",[],
Construction,Burgess Construction Conslnts,"25211 Grogans Mill Rd Spring, TX 77380",,(281) 882-8815,,"Construction Consultants, Construction Companies",[],
Construction,Brown's Construction & Asphalt,"7144 Hickory Hollow Dr Lumberton, TX 77657",,(409) 755-3165,,"Masonry, Road Construction, Concrete Contractors, Asphalt Paving Contractors, Culverts, Paving Contractors",[],
Construction,Scales Concrete Construction,"5202 Old Jacksboro Hwy Wichita Falls, TX 76302",,(940) 767-9983,,"Government Contractors, Concrete Products, Concrete Contractors, Real Estate Developers, Masonry, Concrete Buildings, Culverts, Landscape Lighting, Real Estate Sales & Services, Concrete Contractors, Heavy Construction, General Contractors, Plumbing Contractors, Paving Contractors",[],
Construction,Meiners Construction Inc,"25003 Pitkin Rd # 400 Spring, TX 77386",,(281) 355-1420,,"Sewer Contractors, General Contractors, Plumbing Contractors, Septic Tanks, Wholesale Sewer Cleaning Equipment, Septic Tank Cleaning, Real Estate Developers, Excavating Contractors, Heavy Construction, Sewer Main Repair, Septic System Repair",[],
Construction,Weldon Goodnight Construction,"3500 Dodge City Dr Killeen, TX 76549",,(254) 200-1440,,"Architects, Construction Consultants",[],
Construction,Fryday Construction Group,"801 Bryan Ave Seabrook, TX 77586",,(281) 507-7196,Business Hours: Daily 24 Hours,"Residential Construction, Construction Consultants, Other Nonresidential Construction",[],
Construction,Saur Construction Inc,"31042 FM 3351 Bulverde, TX 78163",,(830) 980-7460,,"Construction Consultants, Masonry, Road Building Contractors, Land Clearing & Leveling, General Contractors, Culverts, Concrete Contractors, Excavating Contractors, Bulldozing",[],
Construction,Gracon Construction Co,"4343 Lasater Rd Mesquite, TX 75181",,(972) 222-8533,,"General Contractors, Construction & Remodeling, Heavy Construction, Government Contractors",[],
Construction,Arsi Construction Equipment,"2640 Northaven Rd Dallas, TX 75229",,(972) 243-2221,,"Construction Consultants, Equipment Leasing, Wholesale Construction Equipment",[],
Construction,Wesco Building & Construction,"PO Box 1899 Livingston, TX 77351",,(936) 327-5244,,Heavy Construction,[],
Construction,Construction & Maintenance Svc,"40 Duperier St Beaumont, TX 77702",,(409) 839-4196,,"Concrete Contractors, Concrete Contractors, Masonry, General Contractors, Culverts, Road Construction",[],
Construction,Milestone Construction Inc,"1406 Halsey Way Ste 124 Carrollton, TX 75007",,(972) 446-0918,,"Architects, Construction Consultants",[],
Construction,Miles Construction Corp,"1005 University Dr E College Station, TX 77840",,(979) 777-4675,,Construction Consultants,[],
Construction,Rex Pennington Construction,"2811 Comanche Trl Weatherford, TX 76087",,(817) 271-4051,Business Hours: Mon-Fri 7am-7pm,"Carport Construction, Metal Buildings",[],
Construction,Econ Concrete Construction,"10015 Aeronca Ln McKinney, TX 75071",,(972) 347-9004,,"Construction Consultants, Concrete Contractors",[],
Construction,Synchrony Construction Group,"3634 Truesdale Dr Missouri City, TX 77459",,(281) 416-7475,,Construction Consultants,[],
Construction,Burgess Construction Cnslnts,"1970 Rawhide Dr Apt 316 Round Rock, TX 78681",,(512) 828-0011,,Construction Consultants,[],
Construction,Jaynes Brothers Construction,"2702 Vail St Rosenberg, TX 77471",,(281) 633-0303,,"Welding, Septic Tanks, Wholesale Cranes & Derricks, Overhead Traveling Systems Manufacturers, Doors, Carport Construction",[],
Construction,Wlm Construction Co,"1006 Wisconsin St South Houston, TX 77587",,(713) 298-7703,,"Soap, Carport Construction, Deordorant, Glue, Air Fresheners, Awnings, General Merchandise Stores, Construction & Remodeling",[],
Construction,A Vasquez Construction,"6227 W Commerce St San Antonio, TX 78237",,(210) 436-2299,,"Asphalt Paving Contractors, Culverts, Government Contractors, Masonry, Paving Contractors, Concrete Contractors, Road Construction, Concrete Contractors",[],
Construction,I Galvan Construction,"205 E Pecan Ln Clute, TX 77531",,(979) 201-3107,,"Construction & Remodeling, Concrete Contractors, Construction Consultants, Excavating Contractors, General Contractors, Foundation Contractors",[],
Construction,Layne Geo Construction,"2315 Southwell Rd Dallas, TX 75229",,(972) 247-6767,,"Drilling & Boring Contractors, General Contractors, Construction Engineers",[],
Construction,A & J Star Construction,"1804 Wildwood St Victoria, TX 77901",,(830) 560-0563,,"Other Nonresidential Construction, Painters, Patio Builders, Construction Consultants, Construction Companies, Roofing Contractors, General Contractors, Construction & Remodeling",[],
Construction,K double H Construction,"1001 Cypress Creek Rd Ste 106 Cedar Park, TX 78613",,(512) 355-7687,Business Hours: Mon-Sat 8am-5pm,"Roofing Consultants, Construction Consultants, Roofing Contractors, Construction Companies",[],
Construction,Rich Cove Construction Llc,"8610 Seawall Blvd # 2 Galveston, TX 77554",,(409) 744-2131,,"General Contractors, Construction Management, Construction Consultants",[],
Construction,G Hatley Roofing & Construction,"4487 Chantilly Ln # 101 Frisco, TX 75036",,(214) 552-1435,Business Hours: Daily 8am-6pm,"Roofing Contractors, Roofing Consultants, Construction Consultants, Construction Companies",[],
Construction,Vince Daddio Construction Inc,"420 W Lingleville Rd Stephenville, TX 76401",,(254) 918-0411,,"Heavy Construction, Other Nonresidential Construction, Construction & Remodeling, Wholesale Safety Equipment & Clothing, Safety Equipment & Clothing Manufacturers, General Contractors, Real Estate Developers, Roofing Contractors, Construction Companies, Residential Construction",[],
Construction,"R3BUILD Construction Services, LLC.","4008 Louetta Rd # 263 Spring, TX 77388",,(281) 309-2997,,"Construction Consultants, Fire Damage Restoration, General Contractors, Construction Companies, Kitchen Remodeling",[],
Construction,Facility Construction Svc Inc,"8200 Lovett Ave Dallas, TX 75227",,(214) 381-0235,"Business Hours: Mon-Fri 8am-5pm, Sat 10am-3pm","Dry Wall Contractors, Construction Management, Construction Consultants, General Contractors",[],
Construction,Shelby L Robinson Construction,"3501 Mills Ln Amarillo, TX 79118",,(806) 622-0025,,"Real Estate Developers, Excavation Work, Construction Companies, Lawn & Garden, Excavating Contractors, Paving Contractors, Soil Preparation, Statuary, Fill Contractors, Heavy Construction, Trucking Companies, General Contractors",[],
Construction,James Power Line Construction,"39350 Interstate 10 W Ste 1 Boerne, TX 78006",,(830) 249-9080,,"Construction Companies, Government Contractors, Pole Line Contractors, Construction Consultants",[],
Construction,South Fork Construction-Wfh,"144 Greenlawn Dr San Antonio, TX 78201",,(210) 314-7081,Business Hours: Mon-Fri 8am-5pm,"Construction Consultants, General Contractors, Construction Management",[],
Construction,Little River Construction Inc,"1000 Schroeder Dr Waco, TX 76710",,(254) 772-5700,,"Construction Consultants, Business Management Consultants, Construction Management",[],
Construction,Presidium Construction,"12065 Starcrest Dr San Antonio, TX 78247",,(210) 490-2527,,Construction Companies,[],
Construction,JW Construction,"102 James St Fate, TX 75189",,(866) 706-7182,Business Hours: Daily 7am-7pm,"Framing Contractors, Floor Coverings, Patio Builders, Sun Rooms, Build Pergolas, Floor Contractors, Roofing & Siding, Home Remodeling Contractors, Home Repair & Service, Ceilings, General Contractors, Other Nonresidential Construction, Roof Decks, Residential Construction, Handyman, Deck Builders, Building Materials, Gazebo Builders, Custom Furniture, Roofing Materials, Roof Repair, Masonry, Garage Builders, Wholesale Patio Equipment, Construction Companies, Fence Contractors, Closet Organization, Construction & Remodeling, Home Repair & Service, Patio & Deck Cleaning & Restoration",[],
Construction,Pruneda Construction,"167 Old Sayers Rd Elgin, TX 78621",,(512) 281-2226,,"Construction Companies, General Contractors",[],
Construction,Construction Ecoservices,"6719 Theall Rd # C Houston, TX 77066",,(281) 537-1145,,Construction Companies,[],
Construction,Koerner Construction,"1703 Oakmont Cir Longview, TX 75605",,(903) 297-7575,,"General Contractors, Construction & Remodeling, Construction Companies",[],
Construction,Bayou Construction,"10310 Belfast Rd La Porte, TX 77571",,(281) 470-1551,,"General Contractors, Construction Companies",[],
Construction,Cazarez Construction,"3611 New Copeland Rd Tyler, TX 75701",,(903) 372-9563,,"General Contractors, Construction Companies",[],
Construction,Dms Construction,"21003 Somerset Park Ln Katy, TX 77450",,(281) 579-7861,,Construction Companies,[],
Construction,Custom Construction,"1001 Forest Dr Sweetwater, TX 79556",,(325) 236-6557,,Construction Companies,[],
Construction,Rodzina Construction,"1110 Nasa Pkwy Ste 311 Houston, TX 77058",,(281) 549-4948,,Construction Companies,[],
Construction,Hardeman Construction,"5900 Balcones Dr Austin, TX 78731",,(512) 300-2225,,"Construction Companies, General Contractors",[],
Construction,Towns Construction,"309 N FM 2353 Graford, TX 76449",,(940) 779-2054,,"Securities, Construction Companies",[],
Construction,Harlem Construction,"5700 Highway 79 Hutto, TX 78634",,(877) 324-9475,Business Hours: Daily 7am-7pm,"Bathroom Remodeling, Patio & Deck Cleaning & Restoration, Door Hanging, Rain Gutters, Tile Contractors, Roofing Consultants, Install Blinds, Dry Wall Contractors, Vinyl Siding Repair, Cabinet Refinishing, Cabinet Installation, Painters, Residential Construction, Holiday Lighting, Disability Remodeling, Landscaping, Roofing Contractors, Repair Shutters, Framing Contractors, Window Repair, Gazebo Builders, Storm Shelter Contractors, Window Replacement, Power Washing, Install Shutters, Weather Stripping Contractors, Shrub & Tree Services, Home Repair & Service, Roof Repair, Handyman, Door Repair, Closet Organization, Deck Builders, Roofing & Siding, Wood Siding Repair, Small Appliance Repair, Repair PVC Gutters, Stair Builders, Plastering Contractors",[],
Construction,Patriot Construction,"1175 Reynolds Rd Beaumont, TX 77707",,(409) 347-7544,,Construction Companies,[],
Construction,Tmc Construction,"2026 W Pioneer Pkwy Ste D1 Pantego, TX 76013",,(817) 405-0272,,Construction Companies,[],
Construction,Frio Construction,"1801 County Road 348 Concan, TX 78838",,(830) 232-4909,,"Construction Companies, General Contractors",[],
Construction,Dpr Construction,"9606 N Mo Pac Expy Fl 300 Austin, TX 78759",,(972) 781-0366,,"Construction Management, Construction Companies, Construction & Remodeling, General Contractors, Government Contractors",[],
Construction,Sloan Construction,"42 S Lakeshore Dr Ransom Canyon, TX 79366",,(806) 748-5555,,Construction Companies,[],
Construction,Ferguson Construction,"1341 County Road 222 Amherst, TX 79312",,(806) 246-3629,Business Hours: Mon-Fri 8am-5pm,Construction Companies,[],
